restaurant_id,category,name,description,price
7810,"Pizza By The Slice (6"" hot sandwich if we run out)",Cheese Slice,A gaint slice of pizza with Sorelli Pizza sauce &amp; mozzarella cheese!,10.0 USD
7810,"Pizza By The Slice (6"" hot sandwich if we run out)",Pepperoni Slice,"A giant slice of pizza with Sorelli Pizza sauce, mozzarella, and pepperoni.",11.0 USD
7810,"Pizza By The Slice (6"" hot sandwich if we run out)",Personalized Slice,"A giant slice of pizza with Sorelli Pizza sauce , mozzarella cheese, &amp; any 2 toppings you choose!

If we run out of slices, usually after 6pm we will send a 6"" open face hot sandwhich with the same sauce, cheese, and toppings you've selected)
(.99 per additional topping after first 2)",12.0 USD
7810,Create Your Own Pasta,Build Your Own Pasta,Baked with mozzarella cheese on top &amp; served with a side of garlic bread &amp; choice of 2 toppings.,16.0 USD
7810,French Bread Hot Sandwiches,Pizza Deluxe Sub,"Sorelli Pizza sauce, pepperoni, Canadian bacon, salami, and tomatoes. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,BBQ Chicken Sandwich,"Chicken, BBQ sauce, onions, and garlic. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,Ranch Sub,"Chicken, bacon, and ranch dressing. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,Veggie Sub,"Sorelli Pizza sauce, cooked tomatoes, mushrooms, red onions, green pepper, and artichoke hearts. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,Meatball Sub,"Sorelli Pizza sauce, meatball, garlic, onions, and ricotta. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,The Man,"Sorelli Pizza sauce, hotlinks, smoked kielbasa, pepperoni, and sausage. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,Tennessee Sandwich,"Pulled pork, bacon, jalapenos, and BBQ sauce. Served open faced and topped with mozzarella. ",10.0 USD
7810,French Bread Hot Sandwiches,Build Your Own Hot Sandwich,Up to 4 toppings of your choice. Served open faced and topped with mozzarella. ,10.0 USD
7810,Beverages,Canned Sodas,12 oz Soda,2.0 USD
7810,"Extras, Sauces, Utensils",Ranch Sauce Cup,3 oz cup.,1.0 USD
7810,"Extras, Sauces, Utensils",BBQ Sauce Cup,3 oz cup,1.0 USD
7810,"Extras, Sauces, Utensils",Buffalo Sauce,3 oz cup.,1.0 USD
7810,"Extras, Sauces, Utensils",Blue Cheese,3 oz cup.,1.0 USD
7810,"Extras, Sauces, Utensils",Utensils,"Includes fork, knife, &amp; napkin.",0.5 USD
7810,"Extras, Sauces, Utensils",Ketchup,3 oz cup.,1.0 USD
7811,Picked for you,Cheesy Bread Sticks,Freshly baked bread sticks smothered in Wisconsin whole milk mozzarella cheese and garlic butter.,4.75 USD
